ticket_id,date
701417,2024-05-06
701418,2024-05-06
701419,2024-05-06
701420,2024-05-06
701421,2024-05-06
701422,2024-05-06
701423,2024-05-06
701424,2024-05-06
701425,2024-05-06
701426,2024-05-06
701427,2024-05-06
701428,2024-05-06
701429,2024-05-06
701430,2024-05-06
701431,2024-05-06
701432,2024-05-06
701433,2024-05-06
701434,2024-05-06
701435,2024-05-06
701436,2024-05-06
701437,2024-05-06
701438,2024-05-06
701439,2024-05-06
701440,2024-05-06
701441,2024-05-06
701442,2024-05-06
701443,2024-05-06
701444,2024-05-06
701445,2024-05-06
701446,2024-05-06
701447,2024-05-06
701448,2024-05-06
701449,2024-05-06
701450,2024-05-06
701451,2024-05-06
701452,2024-05-06
701453,2024-05-06
701454,2024-05-06
701455,2024-05-06
701456,2024-05-06
701457,2024-05-06
701458,2024-05-06
701459,2024-05-06
701460,2024-05-06
701461,2024-05-06
701462,2024-05-06
701463,2024-05-06
701464,2024-05-06
701465,2024-05-06
701466,2024-05-06
701467,2024-05-06
701468,2024-05-06
701469,2024-05-06
701470,2024-05-06
701471,2024-05-06
701472,2024-05-06
701473,2024-05-06
701474,2024-05-06
701475,2024-05-06
701476,2024-05-06
701477,2024-05-06
701478,2024-05-06
701479,2024-05-06
701480,2024-05-06
701481,2024-05-06
701482,2024-05-06
701483,2024-05-06
701484,2024-05-06
701485,2024-05-06
701486,2024-05-06
701487,2024-05-06
701488,2024-05-06
701489,2024-05-06
701490,2024-05-06
701491,2024-05-06
701492,2024-05-06
701493,2024-05-06
701494,2024-05-06
701495,2024-05-06
701496,2024-05-06
701497,2024-05-06
701498,2024-05-06
701499,2024-05-06
701500,2024-05-06
701501,2024-05-06
701502,2024-05-06
701503,2024-05-06
701504,2024-05-06
701505,2024-05-06
701506,2024-05-06
701507,2024-05-06
701508,2024-05-06
701509,2024-05-06
701510,2024-05-06
701511,2024-05-06
701512,2024-05-06
701513,2024-05-06
701514,2024-05-06
701515,2024-05-06
701516,2024-05-06
701517,2024-05-06
701518,2024-05-06
701519,2024-05-06
701520,2024-05-06
701521,2024-05-06
701522,2024-05-06
701523,2024-05-06
701524,2024-05-06
701525,2024-05-06
701526,2024-05-06
701527,2024-05-06
701528,2024-05-06
701529,2024-05-06
701530,2024-05-06
701531,2024-05-06
701532,2024-05-06
701533,2024-05-06
701534,2024-05-06
701535,2024-05-06
701536,2024-05-06
701537,2024-05-06
701538,2024-05-06
701539,2024-05-06
701540,2024-05-06
701541,2024-05-06
701542,2024-05-06
701543,2024-05-06
701544,2024-05-06
701545,2024-05-06
701546,2024-05-06
701547,2024-05-06
701548,2024-05-06
701549,2024-05-06
701550,2024-05-06
701551,2024-05-06
701552,2024-05-06
701553,2024-05-06
701554,2024-05-06
701555,2024-05-06
701556,2024-05-06
701557,2024-05-06
701558,2024-05-06
701559,2024-05-06
701560,2024-05-06
701561,2024-05-06
701562,2024-05-06
701563,2024-05-06
701564,2024-05-06
701565,2024-05-06
701566,2024-05-06
701567,2024-05-06
701568,2024-05-06
701569,2024-05-06
701570,2024-05-06
701571,2024-05-06
701572,2024-05-06
701573,2024-05-06
701574,2024-05-06
701575,2024-05-06
701576,2024-05-06
701577,2024-05-06
701578,2024-05-06
701579,2024-05-06
701580,2024-05-06
701581,2024-05-06
701582,2024-05-06
701583,2024-05-06
701584,2024-05-06
701585,2024-05-06
701586,2024-05-06
701587,2024-05-06
701588,2024-05-06
701589,2024-05-06
701590,2024-05-06
701591,2024-05-06
701592,2024-05-06
701593,2024-05-06
701594,2024-05-06
701595,2024-05-06
701596,2024-05-06
701597,2024-05-06
701598,2024-05-06
701599,2024-05-06
701600,2024-05-06
701601,2024-05-06
701602,2024-05-06
701603,2024-05-06
701604,2024-05-06
701605,2024-05-06
701606,2024-05-06
701607,2024-05-06
701608,2024-05-06
701609,2024-05-06
701610,2024-05-06
701611,2024-05-06
701612,2024-05-06
701613,2024-05-06
701614,2024-05-06
701615,2024-05-06
701616,2024-05-06
701617,2024-05-06
701618,2024-05-06
701619,2024-05-06
701620,2024-05-06
701621,2024-05-06
701622,2024-05-06
701623,2024-05-06
701624,2024-05-06
701625,2024-05-06
701626,2024-05-06
701627,2024-05-06
