Initials,Age,Weight
NQB,42,110
HEW,31,150
JEW,66,163
HFJ,12,135
OBH,61,163
DUU,61,157
TSZ,45,153
JQJ,57,192
GAF,12,158
BWZ,16,186
JCD,13,180
CBA,55,136
VXF,37,163
WPR,59,189
UOE,24,164
OPQ,26,114
MOK,79,151
BII,37,160
RUR,40,143
OVX,34,189
WOO,77,159
EAY,77,170
HPU,51,121
FON,45,177
DXB,57,187
USX,88,120
FKX,37,105
SYR,31,173
YWN,39,200
USV,68,131
TJJ,80,121
CWN,10,118
WEV,80,101
CYP,25,178
CGC,85,195
TUQ,76,167
NAA,36,119
SNH,25,106
VKW,54,141
GLM,90,175
QUA,31,138
QTU,73,189
XPR,19,179
UXA,85,179
ORU,14,194
KSV,89,167
YAC,79,183
PVP,20,175
RLG,53,101
NYY,51,173
KCT,26,184
KQB,84,113
DNE,53,127
DHK,50,186
RGF,12,132
GBZ,69,136
ZOM,36,175
SAT,68,147
LUJ,33,131
DII,43,112
CZE,20,163
NSW,88,191
RVX,35,128
VCR,15,169
BLE,84,194
OWH,41,167
CRZ,52,118
GLD,73,126
XJR,86,172
AYP,51,132
TIF,37,113
LIM,77,156
SWJ,46,172
JYA,55,133
WEC,16,199
RVB,33,181
CFO,82,142
HZA,88,116
HJP,87,190
DVG,11,182
KQT,15,170
CEV,44,136
OIF,54,173
DTU,29,170
XIY,71,155
SSN,52,152
TEJ,36,118
HYR,17,196
MYB,21,165
XAY,17,115
ANE,52,176
XZE,17,159
BGK,82,128
RZF,36,178
SID,74,129
NNI,77,148
DEI,79,113
SSS,73,167
SKC,88,102
ODA,33,113
GZY,68,153
TON,44,107
JFO,54,132
JWJ,20,174
MUC,18,192
BIY,86,194
ZVW,66,106
DWD,57,116
EKV,55,110
XJF,84,182
PDA,21,134
WST,72,192
ERO,67,136
FQT,35,143
GCG,12,123
EXW,64,117
XZF,68,156
RRC,88,176
WUF,31,179
UXO,27,199
PNJ,18,148
NEB,31,169
SSL,12,117
HAC,33,131
SWJ,47,170
GLR,74,161
CVQ,41,154
XBJ,89,196
GEO,43,116
LCN,24,154
LOH,28,103
NTB,30,171
YGZ,62,119
KAF,84,131
KIA,11,123
EAB,74,174
DUT,12,163
HYS,37,103
YES,71,107
MLD,43,152
JNU,23,138
DNV,38,147
DUS,37,123
LXO,16,162
LIZ,84,167
GZS,57,135
YIT,41,163
BKL,33,109
TWK,88,171
JFE,52,144
HKY,75,169
AIP,84,105
CIN,25,127
RVJ,65,165
GWU,84,133
ECA,44,199
UQX,66,150
YIP,30,195
MJV,63,114
IOP,37,188
XER,71,103
FRY,11,136
VCO,43,120
DOU,42,145
UST,32,107
TXS,26,105
DCR,88,147
MWI,13,111
CJN,48,139
EHF,47,113
PVV,89,148
ECW,53,152
BVK,34,181
HIJ,10,137
AJL,27,140
EVY,15,155
EZE,66,177
EFA,79,119
AVX,86,149
UJY,31,149
VWO,45,198
ERM,52,119
FKP,84,178
EXH,69,175
JRY,62,188
VSN,22,114
QKH,89,157
