ticket_id,date
477060,2023-07-10
477061,2023-07-10
477062,2023-07-10
477063,2023-07-10
477064,2023-07-10
477065,2023-07-10
477066,2023-07-10
477067,2023-07-10
477068,2023-07-10
477069,2023-07-10
477070,2023-07-10
477071,2023-07-10
477072,2023-07-10
477073,2023-07-10
477074,2023-07-10
477075,2023-07-10
477076,2023-07-10
477077,2023-07-10
477078,2023-07-10
477079,2023-07-10
477080,2023-07-10
477081,2023-07-10
477082,2023-07-10
477083,2023-07-10
477084,2023-07-10
477085,2023-07-10
477086,2023-07-10
477087,2023-07-10
477088,2023-07-10
477089,2023-07-10
477090,2023-07-10
477091,2023-07-10
477092,2023-07-10
477093,2023-07-10
477094,2023-07-10
477095,2023-07-10
477096,2023-07-10
477097,2023-07-10
477098,2023-07-10
477099,2023-07-10
477100,2023-07-10
477101,2023-07-10
477102,2023-07-10
477103,2023-07-10
477104,2023-07-10
477105,2023-07-10
477106,2023-07-10
477107,2023-07-10
477108,2023-07-10
477109,2023-07-10
477110,2023-07-10
477111,2023-07-10
477112,2023-07-10
477113,2023-07-10
477114,2023-07-10
477115,2023-07-10
477116,2023-07-10
477117,2023-07-10
477118,2023-07-10
477119,2023-07-10
477120,2023-07-10
477121,2023-07-10
477122,2023-07-10
477123,2023-07-10
477124,2023-07-10
477125,2023-07-10
477126,2023-07-10
477127,2023-07-10
477128,2023-07-10
477129,2023-07-10
477130,2023-07-10
477131,2023-07-10
477132,2023-07-10
477133,2023-07-10
477134,2023-07-10
477135,2023-07-10
477136,2023-07-10
477137,2023-07-10
477138,2023-07-10
477139,2023-07-10
477140,2023-07-10
477141,2023-07-10
477142,2023-07-10
477143,2023-07-10
477144,2023-07-10
477145,2023-07-10
477146,2023-07-10
477147,2023-07-10
477148,2023-07-10
477149,2023-07-10
477150,2023-07-10
477151,2023-07-10
477152,2023-07-10
477153,2023-07-10
477154,2023-07-10
477155,2023-07-10
477156,2023-07-10
477157,2023-07-10
477158,2023-07-10
477159,2023-07-10
477160,2023-07-10
477161,2023-07-10
477162,2023-07-10
477163,2023-07-10
477164,2023-07-10
477165,2023-07-10
477166,2023-07-10
477167,2023-07-10
477168,2023-07-10
477169,2023-07-10
477170,2023-07-10
477171,2023-07-10
477172,2023-07-10
477173,2023-07-10
477174,2023-07-10
477175,2023-07-10
477176,2023-07-10
477177,2023-07-10
477178,2023-07-10
477179,2023-07-10
477180,2023-07-10
477181,2023-07-10
477182,2023-07-10
477183,2023-07-10
477184,2023-07-10
477185,2023-07-10
477186,2023-07-10
477187,2023-07-10
477188,2023-07-10
477189,2023-07-10
477190,2023-07-10
477191,2023-07-10
477192,2023-07-10
477193,2023-07-10
477194,2023-07-10
477195,2023-07-10
477196,2023-07-10
477197,2023-07-10
477198,2023-07-10
477199,2023-07-10
477200,2023-07-10
477201,2023-07-10
477202,2023-07-10
477203,2023-07-10
477204,2023-07-10
477205,2023-07-10
477206,2023-07-10
477207,2023-07-10
477208,2023-07-10
477209,2023-07-10
477210,2023-07-10
477211,2023-07-10
477212,2023-07-10
477213,2023-07-10
477214,2023-07-10
477215,2023-07-10
477216,2023-07-10
477217,2023-07-10
477218,2023-07-10
477219,2023-07-10
477220,2023-07-10
477221,2023-07-10
477222,2023-07-10
477223,2023-07-10
477224,2023-07-10
477225,2023-07-10
477226,2023-07-10
477227,2023-07-10
477228,2023-07-10
477229,2023-07-10
477230,2023-07-10
477231,2023-07-10
477232,2023-07-10
477233,2023-07-10
477234,2023-07-10
477235,2023-07-10
477236,2023-07-10
477237,2023-07-10
477238,2023-07-10
477239,2023-07-10
477240,2023-07-10
477241,2023-07-10
477242,2023-07-10
477243,2023-07-10
477244,2023-07-10
477245,2023-07-10
477246,2023-07-10
477247,2023-07-10
477248,2023-07-10
477249,2023-07-10
477250,2023-07-10
477251,2023-07-10
477252,2023-07-10
477253,2023-07-10
477254,2023-07-10
477255,2023-07-10
477256,2023-07-10
477257,2023-07-10
477258,2023-07-10
477259,2023-07-10
477260,2023-07-10
477261,2023-07-10
477262,2023-07-10
477263,2023-07-10
477264,2023-07-10
477265,2023-07-10
477266,2023-07-10
477267,2023-07-10
477268,2023-07-10
477269,2023-07-10
477270,2023-07-10
477271,2023-07-10
477272,2023-07-10
477273,2023-07-10
477274,2023-07-10
477275,2023-07-10
477276,2023-07-10
477277,2023-07-10
477278,2023-07-10
477279,2023-07-10
477280,2023-07-10
477281,2023-07-10
477282,2023-07-10
477283,2023-07-10
477284,2023-07-10
477285,2023-07-10
477286,2023-07-10
477287,2023-07-10
477288,2023-07-10
477289,2023-07-10
477290,2023-07-10
477291,2023-07-10
477292,2023-07-10
477293,2023-07-10
477294,2023-07-10
477295,2023-07-10
477296,2023-07-10
477297,2023-07-10
477298,2023-07-10
477299,2023-07-10
477300,2023-07-10
477301,2023-07-10
477302,2023-07-10
477303,2023-07-10
477304,2023-07-10
477305,2023-07-10
477306,2023-07-10
477307,2023-07-10
477308,2023-07-10
477309,2023-07-10
477310,2023-07-10
477311,2023-07-10
477312,2023-07-10
477313,2023-07-10
477314,2023-07-10
477315,2023-07-10
477316,2023-07-10
477317,2023-07-10
477318,2023-07-10
477319,2023-07-10
477320,2023-07-10
477321,2023-07-10
477322,2023-07-10
477323,2023-07-10
477324,2023-07-10
477325,2023-07-10
477326,2023-07-10
477327,2023-07-10
477328,2023-07-10
477329,2023-07-10
477330,2023-07-10
477331,2023-07-10
477332,2023-07-10
477333,2023-07-10
477334,2023-07-10
477335,2023-07-10
477336,2023-07-10
477337,2023-07-10
477338,2023-07-10
477339,2023-07-10
477340,2023-07-10
477341,2023-07-10
477342,2023-07-10
477343,2023-07-10
477344,2023-07-10
477345,2023-07-10
477346,2023-07-10
477347,2023-07-10
477348,2023-07-10
477349,2023-07-10
477350,2023-07-10
477351,2023-07-10
477352,2023-07-10
477353,2023-07-10
477354,2023-07-10
477355,2023-07-10
477356,2023-07-10
477357,2023-07-10
477358,2023-07-10
477359,2023-07-10
477360,2023-07-10
477361,2023-07-10
477362,2023-07-10
477363,2023-07-10
477364,2023-07-10
477365,2023-07-10
477366,2023-07-10
477367,2023-07-10
477368,2023-07-10
477369,2023-07-10
477370,2023-07-10
477371,2023-07-10
477372,2023-07-10
477373,2023-07-10
477374,2023-07-10
477375,2023-07-10
477376,2023-07-10
477377,2023-07-10
477378,2023-07-10
477379,2023-07-10
477380,2023-07-10
477381,2023-07-10
477382,2023-07-10
477383,2023-07-10
477384,2023-07-10
477385,2023-07-10
477386,2023-07-10
477387,2023-07-10
477388,2023-07-10
477389,2023-07-10
477390,2023-07-10
477391,2023-07-10
477392,2023-07-10
477393,2023-07-10
477394,2023-07-10
477395,2023-07-10
477396,2023-07-10
477397,2023-07-10
477398,2023-07-10
477399,2023-07-10
477400,2023-07-10
477401,2023-07-10
477402,2023-07-10
477403,2023-07-10
477404,2023-07-10
477405,2023-07-10
477406,2023-07-10
477407,2023-07-10
477408,2023-07-10
477409,2023-07-10
477410,2023-07-10
477411,2023-07-10
477412,2023-07-10
477413,2023-07-10
477414,2023-07-10
477415,2023-07-10
477416,2023-07-10
477417,2023-07-10
477418,2023-07-10
477419,2023-07-10
477420,2023-07-10
477421,2023-07-10
477422,2023-07-10
477423,2023-07-10
477424,2023-07-10
477425,2023-07-10
477426,2023-07-10
477427,2023-07-10
477428,2023-07-10
477429,2023-07-10
477430,2023-07-10
477431,2023-07-10
477432,2023-07-10
477433,2023-07-10
477434,2023-07-10
477435,2023-07-10
477436,2023-07-10
477437,2023-07-10
477438,2023-07-10
477439,2023-07-10
477440,2023-07-10
477441,2023-07-10
477442,2023-07-10
477443,2023-07-10
477444,2023-07-10
477445,2023-07-10
477446,2023-07-10
477447,2023-07-10
477448,2023-07-10
477449,2023-07-10
477450,2023-07-10
477451,2023-07-10
477452,2023-07-10
477453,2023-07-10
477454,2023-07-10
477455,2023-07-10
477456,2023-07-10
477457,2023-07-10
477458,2023-07-10
477459,2023-07-10
477460,2023-07-10
477461,2023-07-10
477462,2023-07-10
477463,2023-07-10
477464,2023-07-10
477465,2023-07-10
477466,2023-07-10
477467,2023-07-10
477468,2023-07-10
477469,2023-07-10
477470,2023-07-10
477471,2023-07-10
477472,2023-07-10
477473,2023-07-10
477474,2023-07-10
477475,2023-07-10
477476,2023-07-10
477477,2023-07-10
477478,2023-07-10
477479,2023-07-10
477480,2023-07-10
477481,2023-07-10
477482,2023-07-10
477483,2023-07-10
477484,2023-07-10
477485,2023-07-10
477486,2023-07-10
477487,2023-07-10
477488,2023-07-10
477489,2023-07-10
477490,2023-07-10
477491,2023-07-10
477492,2023-07-10
477493,2023-07-10
477494,2023-07-10
477495,2023-07-10
477496,2023-07-10
477497,2023-07-10
477498,2023-07-10
477499,2023-07-10
477500,2023-07-10
477501,2023-07-10
477502,2023-07-10
477503,2023-07-10
477504,2023-07-10
477505,2023-07-10
477506,2023-07-10
477507,2023-07-10
477508,2023-07-10
477509,2023-07-10
477510,2023-07-10
477511,2023-07-10
477512,2023-07-10
477513,2023-07-10
477514,2023-07-10
477515,2023-07-10
477516,2023-07-10
477517,2023-07-10
477518,2023-07-10
477519,2023-07-10
477520,2023-07-10
477521,2023-07-10
477522,2023-07-10
477523,2023-07-10
477524,2023-07-10
477525,2023-07-10
477526,2023-07-10
477527,2023-07-10
477528,2023-07-10
477529,2023-07-10
477530,2023-07-10
477531,2023-07-10
477532,2023-07-10
477533,2023-07-10
477534,2023-07-10
477535,2023-07-10
477536,2023-07-10
477537,2023-07-10
477538,2023-07-10
477539,2023-07-10
477540,2023-07-10
477541,2023-07-10
477542,2023-07-10
477543,2023-07-10
477544,2023-07-10
477545,2023-07-10
477546,2023-07-10
477547,2023-07-10
477548,2023-07-10
477549,2023-07-10
477550,2023-07-10
477551,2023-07-10
477552,2023-07-10
477553,2023-07-10
477554,2023-07-10
477555,2023-07-10
477556,2023-07-10
477557,2023-07-10
477558,2023-07-10
477559,2023-07-10
477560,2023-07-10
477561,2023-07-10
477562,2023-07-10
477563,2023-07-10
477564,2023-07-10
477565,2023-07-10
477566,2023-07-10
477567,2023-07-10
477568,2023-07-10
477569,2023-07-10
477570,2023-07-10
477571,2023-07-10
477572,2023-07-10
477573,2023-07-10
477574,2023-07-10
477575,2023-07-10
477576,2023-07-10
477577,2023-07-10
477578,2023-07-10
477579,2023-07-10
477580,2023-07-10
477581,2023-07-10
477582,2023-07-10
477583,2023-07-10
477584,2023-07-10
477585,2023-07-10
477586,2023-07-10
477587,2023-07-10
477588,2023-07-10
477589,2023-07-10
477590,2023-07-10
477591,2023-07-10
477592,2023-07-10
477593,2023-07-10
477594,2023-07-10
477595,2023-07-10
477596,2023-07-10
477597,2023-07-10
477598,2023-07-10
477599,2023-07-10
477600,2023-07-10
477601,2023-07-10
477602,2023-07-10
477603,2023-07-10
477604,2023-07-10
477605,2023-07-10
477606,2023-07-10
477607,2023-07-10
477608,2023-07-10
477609,2023-07-10
477610,2023-07-10
477611,2023-07-10
477612,2023-07-10
477613,2023-07-10
477614,2023-07-10
477615,2023-07-10
477616,2023-07-10
477617,2023-07-10
477618,2023-07-10
477619,2023-07-10
477620,2023-07-10
477621,2023-07-10
477622,2023-07-10
477623,2023-07-10
477624,2023-07-10
477625,2023-07-10
477626,2023-07-10
477627,2023-07-10
477628,2023-07-10
477629,2023-07-10
477630,2023-07-10
477631,2023-07-10
477632,2023-07-10
477633,2023-07-10
477634,2023-07-10
477635,2023-07-10
477636,2023-07-10
477637,2023-07-10
477638,2023-07-10
477639,2023-07-10
477640,2023-07-10
477641,2023-07-10
477642,2023-07-10
477643,2023-07-10
477644,2023-07-10
477645,2023-07-10
477646,2023-07-10
