ticket_id,date
505915,2023-08-26
505916,2023-08-26
505917,2023-08-26
505918,2023-08-26
505919,2023-08-26
505920,2023-08-26
505921,2023-08-26
505922,2023-08-26
505923,2023-08-26
505924,2023-08-26
505925,2023-08-26
505926,2023-08-26
505927,2023-08-26
505928,2023-08-26
505929,2023-08-26
505930,2023-08-26
505931,2023-08-26
505932,2023-08-26
505933,2023-08-26
505934,2023-08-26
505935,2023-08-26
505936,2023-08-26
505937,2023-08-26
505938,2023-08-26
505939,2023-08-26
505940,2023-08-26
505941,2023-08-26
505942,2023-08-26
505943,2023-08-26
505944,2023-08-26
505945,2023-08-26
505946,2023-08-26
505947,2023-08-26
505948,2023-08-26
505949,2023-08-26
505950,2023-08-26
505951,2023-08-26
505952,2023-08-26
505953,2023-08-26
505954,2023-08-26
505955,2023-08-26
505956,2023-08-26
505957,2023-08-26
505958,2023-08-26
505959,2023-08-26
505960,2023-08-26
505961,2023-08-26
505962,2023-08-26
505963,2023-08-26
505964,2023-08-26
505965,2023-08-26
505966,2023-08-26
505967,2023-08-26
505968,2023-08-26
505969,2023-08-26
505970,2023-08-26
505971,2023-08-26
505972,2023-08-26
505973,2023-08-26
505974,2023-08-26
505975,2023-08-26
505976,2023-08-26
505977,2023-08-26
505978,2023-08-26
505979,2023-08-26
505980,2023-08-26
505981,2023-08-26
505982,2023-08-26
505983,2023-08-26
505984,2023-08-26
505985,2023-08-26
505986,2023-08-26
505987,2023-08-26
505988,2023-08-26
505989,2023-08-26
505990,2023-08-26
505991,2023-08-26
505992,2023-08-26
505993,2023-08-26
505994,2023-08-26
505995,2023-08-26
505996,2023-08-26
505997,2023-08-26
505998,2023-08-26
505999,2023-08-26
506000,2023-08-26
506001,2023-08-26
506002,2023-08-26
506003,2023-08-26
506004,2023-08-26
506005,2023-08-26
506006,2023-08-26
506007,2023-08-26
506008,2023-08-26
506009,2023-08-26
506010,2023-08-26
506011,2023-08-26
506012,2023-08-26
506013,2023-08-26
506014,2023-08-26
506015,2023-08-26
506016,2023-08-26
506017,2023-08-26
506018,2023-08-26
506019,2023-08-26
506020,2023-08-26
506021,2023-08-26
506022,2023-08-26
506023,2023-08-26
506024,2023-08-26
506025,2023-08-26
506026,2023-08-26
506027,2023-08-26
506028,2023-08-26
506029,2023-08-26
506030,2023-08-26
506031,2023-08-26
506032,2023-08-26
506033,2023-08-26
506034,2023-08-26
506035,2023-08-26
506036,2023-08-26
506037,2023-08-26
506038,2023-08-26
506039,2023-08-26
506040,2023-08-26
506041,2023-08-26
506042,2023-08-26
506043,2023-08-26
506044,2023-08-26
506045,2023-08-26
506046,2023-08-26
506047,2023-08-26
506048,2023-08-26
506049,2023-08-26
506050,2023-08-26
506051,2023-08-26
506052,2023-08-26
506053,2023-08-26
506054,2023-08-26
506055,2023-08-26
506056,2023-08-26
506057,2023-08-26
506058,2023-08-26
506059,2023-08-26
506060,2023-08-26
506061,2023-08-26
506062,2023-08-26
506063,2023-08-26
506064,2023-08-26
506065,2023-08-26
506066,2023-08-26
506067,2023-08-26
506068,2023-08-26
506069,2023-08-26
506070,2023-08-26
506071,2023-08-26
506072,2023-08-26
506073,2023-08-26
506074,2023-08-26
506075,2023-08-26
506076,2023-08-26
506077,2023-08-26
506078,2023-08-26
506079,2023-08-26
506080,2023-08-26
506081,2023-08-26
506082,2023-08-26
506083,2023-08-26
506084,2023-08-26
506085,2023-08-26
506086,2023-08-26
506087,2023-08-26
506088,2023-08-26
506089,2023-08-26
506090,2023-08-26
506091,2023-08-26
506092,2023-08-26
506093,2023-08-26
506094,2023-08-26
506095,2023-08-26
506096,2023-08-26
506097,2023-08-26
506098,2023-08-26
506099,2023-08-26
506100,2023-08-26
506101,2023-08-26
506102,2023-08-26
506103,2023-08-26
506104,2023-08-26
506105,2023-08-26
506106,2023-08-26
506107,2023-08-26
506108,2023-08-26
506109,2023-08-26
506110,2023-08-26
506111,2023-08-26
506112,2023-08-26
506113,2023-08-26
506114,2023-08-26
506115,2023-08-26
506116,2023-08-26
506117,2023-08-26
506118,2023-08-26
506119,2023-08-26
506120,2023-08-26
506121,2023-08-26
506122,2023-08-26
506123,2023-08-26
506124,2023-08-26
506125,2023-08-26
506126,2023-08-26
506127,2023-08-26
506128,2023-08-26
506129,2023-08-26
506130,2023-08-26
506131,2023-08-26
506132,2023-08-26
506133,2023-08-26
506134,2023-08-26
506135,2023-08-26
506136,2023-08-26
506137,2023-08-26
506138,2023-08-26
506139,2023-08-26
506140,2023-08-26
506141,2023-08-26
506142,2023-08-26
506143,2023-08-26
506144,2023-08-26
506145,2023-08-26
506146,2023-08-26
506147,2023-08-26
506148,2023-08-26
506149,2023-08-26
506150,2023-08-26
506151,2023-08-26
506152,2023-08-26
506153,2023-08-26
506154,2023-08-26
506155,2023-08-26
506156,2023-08-26
506157,2023-08-26
506158,2023-08-26
506159,2023-08-26
506160,2023-08-26
506161,2023-08-26
506162,2023-08-26
506163,2023-08-26
506164,2023-08-26
506165,2023-08-26
506166,2023-08-26
506167,2023-08-26
506168,2023-08-26
506169,2023-08-26
506170,2023-08-26
506171,2023-08-26
506172,2023-08-26
506173,2023-08-26
