ticket_id,date
486186,2023-07-25
486187,2023-07-25
486188,2023-07-25
486189,2023-07-25
486190,2023-07-25
486191,2023-07-25
486192,2023-07-25
486193,2023-07-25
486194,2023-07-25
486195,2023-07-25
486196,2023-07-25
486197,2023-07-25
486198,2023-07-25
486199,2023-07-25
486200,2023-07-25
486201,2023-07-25
486202,2023-07-25
486203,2023-07-25
486204,2023-07-25
486205,2023-07-25
486206,2023-07-25
486207,2023-07-25
486208,2023-07-25
486209,2023-07-25
486210,2023-07-25
486211,2023-07-25
486212,2023-07-25
486213,2023-07-25
486214,2023-07-25
486215,2023-07-25
486216,2023-07-25
486217,2023-07-25
486218,2023-07-25
486219,2023-07-25
486220,2023-07-25
486221,2023-07-25
486222,2023-07-25
486223,2023-07-25
486224,2023-07-25
486225,2023-07-25
486226,2023-07-25
486227,2023-07-25
486228,2023-07-25
486229,2023-07-25
486230,2023-07-25
486231,2023-07-25
486232,2023-07-25
486233,2023-07-25
486234,2023-07-25
486235,2023-07-25
486236,2023-07-25
486237,2023-07-25
486238,2023-07-25
486239,2023-07-25
486240,2023-07-25
486241,2023-07-25
486242,2023-07-25
486243,2023-07-25
486244,2023-07-25
486245,2023-07-25
486246,2023-07-25
486247,2023-07-25
486248,2023-07-25
486249,2023-07-25
486250,2023-07-25
486251,2023-07-25
486252,2023-07-25
486253,2023-07-25
486254,2023-07-25
486255,2023-07-25
486256,2023-07-25
486257,2023-07-25
486258,2023-07-25
486259,2023-07-25
486260,2023-07-25
486261,2023-07-25
486262,2023-07-25
486263,2023-07-25
486264,2023-07-25
486265,2023-07-25
486266,2023-07-25
486267,2023-07-25
486268,2023-07-25
486269,2023-07-25
486270,2023-07-25
486271,2023-07-25
486272,2023-07-25
486273,2023-07-25
486274,2023-07-25
486275,2023-07-25
486276,2023-07-25
486277,2023-07-25
486278,2023-07-25
486279,2023-07-25
486280,2023-07-25
486281,2023-07-25
486282,2023-07-25
486283,2023-07-25
486284,2023-07-25
486285,2023-07-25
486286,2023-07-25
486287,2023-07-25
486288,2023-07-25
486289,2023-07-25
486290,2023-07-25
486291,2023-07-25
486292,2023-07-25
486293,2023-07-25
486294,2023-07-25
486295,2023-07-25
486296,2023-07-25
486297,2023-07-25
486298,2023-07-25
486299,2023-07-25
486300,2023-07-25
486301,2023-07-25
486302,2023-07-25
486303,2023-07-25
486304,2023-07-25
486305,2023-07-25
486306,2023-07-25
486307,2023-07-25
486308,2023-07-25
486309,2023-07-25
486310,2023-07-25
486311,2023-07-25
486312,2023-07-25
486313,2023-07-25
486314,2023-07-25
486315,2023-07-25
486316,2023-07-25
486317,2023-07-25
486318,2023-07-25
486319,2023-07-25
486320,2023-07-25
486321,2023-07-25
486322,2023-07-25
486323,2023-07-25
486324,2023-07-25
486325,2023-07-25
486326,2023-07-25
486327,2023-07-25
486328,2023-07-25
486329,2023-07-25
