ticket_id,date
570046,2023-11-26
570047,2023-11-26
570048,2023-11-26
570049,2023-11-26
570050,2023-11-26
570051,2023-11-26
570052,2023-11-26
570053,2023-11-26
570054,2023-11-26
570055,2023-11-26
570056,2023-11-26
570057,2023-11-26
570058,2023-11-26
570059,2023-11-26
570060,2023-11-26
570061,2023-11-26
570062,2023-11-26
570063,2023-11-26
570064,2023-11-26
570065,2023-11-26
570066,2023-11-26
570067,2023-11-26
570068,2023-11-26
570069,2023-11-26
570070,2023-11-26
570071,2023-11-26
570072,2023-11-26
570073,2023-11-26
570074,2023-11-26
570075,2023-11-26
570076,2023-11-26
570077,2023-11-26
570078,2023-11-26
570079,2023-11-26
570080,2023-11-26
570081,2023-11-26
570082,2023-11-26
570083,2023-11-26
570084,2023-11-26
570085,2023-11-26
570086,2023-11-26
570087,2023-11-26
570088,2023-11-26
570089,2023-11-26
570090,2023-11-26
570091,2023-11-26
570092,2023-11-26
570093,2023-11-26
570094,2023-11-26
570095,2023-11-26
570096,2023-11-26
570097,2023-11-26
570098,2023-11-26
570099,2023-11-26
570100,2023-11-26
570101,2023-11-26
570102,2023-11-26
570103,2023-11-26
570104,2023-11-26
570105,2023-11-26
570106,2023-11-26
570107,2023-11-26
570108,2023-11-26
570109,2023-11-26
570110,2023-11-26
570111,2023-11-26
570112,2023-11-26
570113,2023-11-26
570114,2023-11-26
570115,2023-11-26
570116,2023-11-26
570117,2023-11-26
570118,2023-11-26
570119,2023-11-26
570120,2023-11-26
570121,2023-11-26
570122,2023-11-26
570123,2023-11-26
570124,2023-11-26
570125,2023-11-26
570126,2023-11-26
570127,2023-11-26
570128,2023-11-26
570129,2023-11-26
570130,2023-11-26
570131,2023-11-26
570132,2023-11-26
570133,2023-11-26
570134,2023-11-26
570135,2023-11-26
570136,2023-11-26
570137,2023-11-26
570138,2023-11-26
570139,2023-11-26
570140,2023-11-26
570141,2023-11-26
570142,2023-11-26
570143,2023-11-26
570144,2023-11-26
570145,2023-11-26
570146,2023-11-26
570147,2023-11-26
570148,2023-11-26
570149,2023-11-26
570150,2023-11-26
570151,2023-11-26
570152,2023-11-26
570153,2023-11-26
570154,2023-11-26
570155,2023-11-26
570156,2023-11-26
570157,2023-11-26
570158,2023-11-26
570159,2023-11-26
570160,2023-11-26
570161,2023-11-26
570162,2023-11-26
570163,2023-11-26
570164,2023-11-26
570165,2023-11-26
570166,2023-11-26
570167,2023-11-26
570168,2023-11-26
570169,2023-11-26
570170,2023-11-26
570171,2023-11-26
570172,2023-11-26
570173,2023-11-26
570174,2023-11-26
570175,2023-11-26
570176,2023-11-26
570177,2023-11-26
570178,2023-11-26
570179,2023-11-26
570180,2023-11-26
570181,2023-11-26
570182,2023-11-26
570183,2023-11-26
570184,2023-11-26
570185,2023-11-26
570186,2023-11-26
570187,2023-11-26
570188,2023-11-26
570189,2023-11-26
570190,2023-11-26
570191,2023-11-26
570192,2023-11-26
570193,2023-11-26
570194,2023-11-26
570195,2023-11-26
570196,2023-11-26
570197,2023-11-26
570198,2023-11-26
570199,2023-11-26
570200,2023-11-26
570201,2023-11-26
570202,2023-11-26
570203,2023-11-26
570204,2023-11-26
570205,2023-11-26
570206,2023-11-26
570207,2023-11-26
570208,2023-11-26
570209,2023-11-26
570210,2023-11-26
570211,2023-11-26
570212,2023-11-26
570213,2023-11-26
570214,2023-11-26
570215,2023-11-26
570216,2023-11-26
570217,2023-11-26
570218,2023-11-26
570219,2023-11-26
570220,2023-11-26
570221,2023-11-26
570222,2023-11-26
570223,2023-11-26
570224,2023-11-26
570225,2023-11-26
570226,2023-11-26
570227,2023-11-26
570228,2023-11-26
570229,2023-11-26
570230,2023-11-26
570231,2023-11-26
570232,2023-11-26
570233,2023-11-26
570234,2023-11-26
570235,2023-11-26
570236,2023-11-26
570237,2023-11-26
570238,2023-11-26
570239,2023-11-26
570240,2023-11-26
570241,2023-11-26
570242,2023-11-26
570243,2023-11-26
570244,2023-11-26
570245,2023-11-26
570246,2023-11-26
570247,2023-11-26
570248,2023-11-26
570249,2023-11-26
570250,2023-11-26
570251,2023-11-26
570252,2023-11-26
570253,2023-11-26
570254,2023-11-26
570255,2023-11-26
570256,2023-11-26
570257,2023-11-26
570258,2023-11-26
570259,2023-11-26
570260,2023-11-26
570261,2023-11-26
570262,2023-11-26
570263,2023-11-26
570264,2023-11-26
570265,2023-11-26
570266,2023-11-26
570267,2023-11-26
570268,2023-11-26
570269,2023-11-26
570270,2023-11-26
570271,2023-11-26
570272,2023-11-26
570273,2023-11-26
570274,2023-11-26
570275,2023-11-26
570276,2023-11-26
570277,2023-11-26
570278,2023-11-26
570279,2023-11-26
570280,2023-11-26
570281,2023-11-26
570282,2023-11-26
570283,2023-11-26
570284,2023-11-26
570285,2023-11-26
