ticket_id,date
637470,2024-02-16
637471,2024-02-16
637472,2024-02-16
637473,2024-02-16
637474,2024-02-16
637475,2024-02-16
637476,2024-02-16
637477,2024-02-16
637478,2024-02-16
637479,2024-02-16
637480,2024-02-16
637481,2024-02-16
637482,2024-02-16
637483,2024-02-16
637484,2024-02-16
637485,2024-02-16
637486,2024-02-16
637487,2024-02-16
637488,2024-02-16
637489,2024-02-16
637490,2024-02-16
637491,2024-02-16
637492,2024-02-16
637493,2024-02-16
637494,2024-02-16
637495,2024-02-16
637496,2024-02-16
637497,2024-02-16
637498,2024-02-16
637499,2024-02-16
637500,2024-02-16
637501,2024-02-16
637502,2024-02-16
637503,2024-02-16
637504,2024-02-16
637505,2024-02-16
637506,2024-02-16
637507,2024-02-16
637508,2024-02-16
637509,2024-02-16
637510,2024-02-16
637511,2024-02-16
637512,2024-02-16
637513,2024-02-16
637514,2024-02-16
637515,2024-02-16
637516,2024-02-16
637517,2024-02-16
637518,2024-02-16
637519,2024-02-16
637520,2024-02-16
637521,2024-02-16
637522,2024-02-16
637523,2024-02-16
637524,2024-02-16
637525,2024-02-16
637526,2024-02-16
637527,2024-02-16
637528,2024-02-16
637529,2024-02-16
637530,2024-02-16
637531,2024-02-16
637532,2024-02-16
637533,2024-02-16
637534,2024-02-16
637535,2024-02-16
637536,2024-02-16
637537,2024-02-16
637538,2024-02-16
637539,2024-02-16
637540,2024-02-16
637541,2024-02-16
637542,2024-02-16
637543,2024-02-16
637544,2024-02-16
637545,2024-02-16
637546,2024-02-16
637547,2024-02-16
637548,2024-02-16
637549,2024-02-16
637550,2024-02-16
637551,2024-02-16
637552,2024-02-16
637553,2024-02-16
637554,2024-02-16
637555,2024-02-16
637556,2024-02-16
637557,2024-02-16
637558,2024-02-16
637559,2024-02-16
637560,2024-02-16
637561,2024-02-16
637562,2024-02-16
637563,2024-02-16
637564,2024-02-16
637565,2024-02-16
637566,2024-02-16
637567,2024-02-16
637568,2024-02-16
637569,2024-02-16
637570,2024-02-16
637571,2024-02-16
637572,2024-02-16
637573,2024-02-16
637574,2024-02-16
637575,2024-02-16
637576,2024-02-16
637577,2024-02-16
637578,2024-02-16
637579,2024-02-16
637580,2024-02-16
637581,2024-02-16
637582,2024-02-16
637583,2024-02-16
637584,2024-02-16
637585,2024-02-16
637586,2024-02-16
637587,2024-02-16
637588,2024-02-16
637589,2024-02-16
637590,2024-02-16
637591,2024-02-16
637592,2024-02-16
637593,2024-02-16
637594,2024-02-16
637595,2024-02-16
637596,2024-02-16
637597,2024-02-16
637598,2024-02-16
637599,2024-02-16
637600,2024-02-16
637601,2024-02-16
637602,2024-02-16
637603,2024-02-16
637604,2024-02-16
637605,2024-02-16
637606,2024-02-16
637607,2024-02-16
637608,2024-02-16
637609,2024-02-16
637610,2024-02-16
637611,2024-02-16
637612,2024-02-16
637613,2024-02-16
637614,2024-02-16
637615,2024-02-16
637616,2024-02-16
637617,2024-02-16
637618,2024-02-16
637619,2024-02-16
637620,2024-02-16
637621,2024-02-16
637622,2024-02-16
637623,2024-02-16
637624,2024-02-16
637625,2024-02-16
637626,2024-02-16
637627,2024-02-16
637628,2024-02-16
637629,2024-02-16
637630,2024-02-16
637631,2024-02-16
637632,2024-02-16
637633,2024-02-16
637634,2024-02-16
637635,2024-02-16
637636,2024-02-16
637637,2024-02-16
637638,2024-02-16
637639,2024-02-16
637640,2024-02-16
637641,2024-02-16
637642,2024-02-16
637643,2024-02-16
637644,2024-02-16
637645,2024-02-16
637646,2024-02-16
637647,2024-02-16
637648,2024-02-16
637649,2024-02-16
637650,2024-02-16
637651,2024-02-16
637652,2024-02-16
637653,2024-02-16
637654,2024-02-16
637655,2024-02-16
637656,2024-02-16
637657,2024-02-16
637658,2024-02-16
637659,2024-02-16
