ticket_id,date
702136,2024-05-07
702137,2024-05-07
702138,2024-05-07
702139,2024-05-07
702140,2024-05-07
702141,2024-05-07
702142,2024-05-07
702143,2024-05-07
702144,2024-05-07
702145,2024-05-07
702146,2024-05-07
702147,2024-05-07
702148,2024-05-07
702149,2024-05-07
702150,2024-05-07
702151,2024-05-07
702152,2024-05-07
702153,2024-05-07
702154,2024-05-07
702155,2024-05-07
702156,2024-05-07
702157,2024-05-07
702158,2024-05-07
702159,2024-05-07
702160,2024-05-07
702161,2024-05-07
702162,2024-05-07
702163,2024-05-07
702164,2024-05-07
702165,2024-05-07
702166,2024-05-07
702167,2024-05-07
702168,2024-05-07
702169,2024-05-07
702170,2024-05-07
702171,2024-05-07
702172,2024-05-07
702173,2024-05-07
702174,2024-05-07
702175,2024-05-07
702176,2024-05-07
702177,2024-05-07
702178,2024-05-07
702179,2024-05-07
702180,2024-05-07
702181,2024-05-07
702182,2024-05-07
702183,2024-05-07
702184,2024-05-07
702185,2024-05-07
702186,2024-05-07
702187,2024-05-07
702188,2024-05-07
702189,2024-05-07
702190,2024-05-07
702191,2024-05-07
702192,2024-05-07
702193,2024-05-07
702194,2024-05-07
702195,2024-05-07
702196,2024-05-07
702197,2024-05-07
702198,2024-05-07
702199,2024-05-07
702200,2024-05-07
702201,2024-05-07
702202,2024-05-07
702203,2024-05-07
702204,2024-05-07
702205,2024-05-07
702206,2024-05-07
702207,2024-05-07
702208,2024-05-07
702209,2024-05-07
702210,2024-05-07
702211,2024-05-07
702212,2024-05-07
702213,2024-05-07
702214,2024-05-07
702215,2024-05-07
702216,2024-05-07
702217,2024-05-07
702218,2024-05-07
702219,2024-05-07
702220,2024-05-07
702221,2024-05-07
702222,2024-05-07
702223,2024-05-07
702224,2024-05-07
702225,2024-05-07
702226,2024-05-07
702227,2024-05-07
702228,2024-05-07
702229,2024-05-07
702230,2024-05-07
702231,2024-05-07
702232,2024-05-07
702233,2024-05-07
702234,2024-05-07
702235,2024-05-07
702236,2024-05-07
702237,2024-05-07
702238,2024-05-07
702239,2024-05-07
702240,2024-05-07
702241,2024-05-07
702242,2024-05-07
702243,2024-05-07
702244,2024-05-07
702245,2024-05-07
702246,2024-05-07
702247,2024-05-07
702248,2024-05-07
702249,2024-05-07
702250,2024-05-07
702251,2024-05-07
702252,2024-05-07
702253,2024-05-07
702254,2024-05-07
702255,2024-05-07
702256,2024-05-07
702257,2024-05-07
702258,2024-05-07
702259,2024-05-07
702260,2024-05-07
702261,2024-05-07
702262,2024-05-07
702263,2024-05-07
702264,2024-05-07
702265,2024-05-07
702266,2024-05-07
702267,2024-05-07
702268,2024-05-07
702269,2024-05-07
702270,2024-05-07
702271,2024-05-07
702272,2024-05-07
702273,2024-05-07
702274,2024-05-07
702275,2024-05-07
702276,2024-05-07
702277,2024-05-07
702278,2024-05-07
702279,2024-05-07
702280,2024-05-07
702281,2024-05-07
702282,2024-05-07
702283,2024-05-07
702284,2024-05-07
702285,2024-05-07
702286,2024-05-07
702287,2024-05-07
702288,2024-05-07
702289,2024-05-07
702290,2024-05-07
702291,2024-05-07
702292,2024-05-07
702293,2024-05-07
702294,2024-05-07
702295,2024-05-07
702296,2024-05-07
702297,2024-05-07
702298,2024-05-07
702299,2024-05-07
702300,2024-05-07
702301,2024-05-07
702302,2024-05-07
702303,2024-05-07
702304,2024-05-07
702305,2024-05-07
702306,2024-05-07
702307,2024-05-07
702308,2024-05-07
702309,2024-05-07
702310,2024-05-07
702311,2024-05-07
702312,2024-05-07
702313,2024-05-07
702314,2024-05-07
702315,2024-05-07
702316,2024-05-07
702317,2024-05-07
702318,2024-05-07
702319,2024-05-07
702320,2024-05-07
702321,2024-05-07
702322,2024-05-07
702323,2024-05-07
702324,2024-05-07
702325,2024-05-07
702326,2024-05-07
702327,2024-05-07
702328,2024-05-07
702329,2024-05-07
702330,2024-05-07
702331,2024-05-07
702332,2024-05-07
702333,2024-05-07
702334,2024-05-07
702335,2024-05-07
702336,2024-05-07
702337,2024-05-07
702338,2024-05-07
702339,2024-05-07
702340,2024-05-07
702341,2024-05-07
702342,2024-05-07
702343,2024-05-07
702344,2024-05-07
702345,2024-05-07
702346,2024-05-07
702347,2024-05-07
702348,2024-05-07
702349,2024-05-07
702350,2024-05-07
702351,2024-05-07
702352,2024-05-07
702353,2024-05-07
702354,2024-05-07
702355,2024-05-07
702356,2024-05-07
702357,2024-05-07
702358,2024-05-07
702359,2024-05-07
702360,2024-05-07
702361,2024-05-07
702362,2024-05-07
702363,2024-05-07
702364,2024-05-07
702365,2024-05-07
702366,2024-05-07
702367,2024-05-07
702368,2024-05-07
702369,2024-05-07
702370,2024-05-07
702371,2024-05-07
702372,2024-05-07
702373,2024-05-07
702374,2024-05-07
702375,2024-05-07
702376,2024-05-07
702377,2024-05-07
702378,2024-05-07
702379,2024-05-07
702380,2024-05-07
702381,2024-05-07
702382,2024-05-07
702383,2024-05-07
702384,2024-05-07
702385,2024-05-07
702386,2024-05-07
702387,2024-05-07
702388,2024-05-07
702389,2024-05-07
702390,2024-05-07
702391,2024-05-07
702392,2024-05-07
702393,2024-05-07
702394,2024-05-07
702395,2024-05-07
702396,2024-05-07
702397,2024-05-07
702398,2024-05-07
702399,2024-05-07
702400,2024-05-07
702401,2024-05-07
702402,2024-05-07
702403,2024-05-07
702404,2024-05-07
702405,2024-05-07
702406,2024-05-07
702407,2024-05-07
702408,2024-05-07
702409,2024-05-07
702410,2024-05-07
702411,2024-05-07
702412,2024-05-07
702413,2024-05-07
702414,2024-05-07
702415,2024-05-07
702416,2024-05-07
702417,2024-05-07
702418,2024-05-07
702419,2024-05-07
702420,2024-05-07
702421,2024-05-07
702422,2024-05-07
702423,2024-05-07
702424,2024-05-07
702425,2024-05-07
702426,2024-05-07
702427,2024-05-07
702428,2024-05-07
702429,2024-05-07
702430,2024-05-07
702431,2024-05-07
702432,2024-05-07
702433,2024-05-07
702434,2024-05-07
702435,2024-05-07
702436,2024-05-07
702437,2024-05-07
702438,2024-05-07
702439,2024-05-07
702440,2024-05-07
702441,2024-05-07
702442,2024-05-07
702443,2024-05-07
702444,2024-05-07
702445,2024-05-07
702446,2024-05-07
702447,2024-05-07
702448,2024-05-07
702449,2024-05-07
702450,2024-05-07
702451,2024-05-07
702452,2024-05-07
702453,2024-05-07
702454,2024-05-07
702455,2024-05-07
702456,2024-05-07
702457,2024-05-07
702458,2024-05-07
702459,2024-05-07
702460,2024-05-07
702461,2024-05-07
702462,2024-05-07
702463,2024-05-07
702464,2024-05-07
702465,2024-05-07
702466,2024-05-07
702467,2024-05-07
702468,2024-05-07
702469,2024-05-07
702470,2024-05-07
702471,2024-05-07
702472,2024-05-07
702473,2024-05-07
702474,2024-05-07
702475,2024-05-07
702476,2024-05-07
702477,2024-05-07
702478,2024-05-07
702479,2024-05-07
702480,2024-05-07
702481,2024-05-07
702482,2024-05-07
702483,2024-05-07
702484,2024-05-07
702485,2024-05-07
702486,2024-05-07
702487,2024-05-07
702488,2024-05-07
702489,2024-05-07
702490,2024-05-07
702491,2024-05-07
702492,2024-05-07
702493,2024-05-07
702494,2024-05-07
702495,2024-05-07
702496,2024-05-07
702497,2024-05-07
702498,2024-05-07
702499,2024-05-07
702500,2024-05-07
702501,2024-05-07
702502,2024-05-07
702503,2024-05-07
702504,2024-05-07
702505,2024-05-07
702506,2024-05-07
702507,2024-05-07
702508,2024-05-07
702509,2024-05-07
702510,2024-05-07
702511,2024-05-07
702512,2024-05-07
702513,2024-05-07
702514,2024-05-07
702515,2024-05-07
702516,2024-05-07
702517,2024-05-07
702518,2024-05-07
702519,2024-05-07
702520,2024-05-07
702521,2024-05-07
702522,2024-05-07
702523,2024-05-07
702524,2024-05-07
702525,2024-05-07
702526,2024-05-07
702527,2024-05-07
702528,2024-05-07
702529,2024-05-07
702530,2024-05-07
702531,2024-05-07
702532,2024-05-07
702533,2024-05-07
702534,2024-05-07
702535,2024-05-07
702536,2024-05-07
702537,2024-05-07
702538,2024-05-07
702539,2024-05-07
702540,2024-05-07
702541,2024-05-07
702542,2024-05-07
702543,2024-05-07
702544,2024-05-07
702545,2024-05-07
702546,2024-05-07
702547,2024-05-07
702548,2024-05-07
702549,2024-05-07
