server_id,timestamp,server_age_months,workload_type,cpu_temp_celsius,cpu_utilization_percent,memory_usage_percent,disk_io_ops_per_sec,network_throughput_mbps,fan_speed_rpm,power_draw_watts,disk_read_errors_24h,memory_errors_24h,failure_within_48h
server_102,2024-01-01 00:00:00,34,web,55.0,39.8,68.0,492,285.9,3024,281.8,1,2,0
server_435,2024-01-01 01:00:00,35,storage,55.7,39.6,44.9,142,26.9,3161,260.9,0,0,0
server_348,2024-01-01 02:00:00,44,database,43.8,18.9,83.1,315,367.7,2978,307.0,2,2,0
server_270,2024-01-01 03:00:00,23,storage,42.7,28.8,62.3,305,310.8,2827,178.6,0,0,0
server_106,2024-01-01 04:00:00,16,database,55.4,86.2,57.0,601,312.7,2841,217.8,3,2,0
server_071,2024-01-01 05:00:00,48,storage,43.8,20.9,47.7,625,520.1,3001,280.7,2,0,0
server_188,2024-01-01 06:00:00,54,database,41.7,31.9,63.2,286,335.7,2945,213.8,3,0,1
server_020,2024-01-01 07:00:00,43,storage,88.3,88.4,88.3,238,219.5,1963,321.7,18,13,1
server_102,2024-01-01 08:00:00,45,web,51.1,43.8,23.0,207,368.8,2902,225.4,1,0,0
server_121,2024-01-01 09:00:00,6,database,48.0,52.7,36.7,696,308.6,2769,290.9,1,2,0
server_466,2024-01-01 10:00:00,34,web,49.4,35.6,77.1,683,411.6,3326,255.4,0,2,0
server_214,2024-01-01 11:00:00,15,compute,90.5,92.5,97.1,630,240.3,2145,347.4,28,14,1
server_330,2024-01-01 12:00:00,33,web,85.9,94.4,91.9,801,218.5,1935,286.9,21,14,1
server_458,2024-01-01 13:00:00,36,database,55.6,70.3,58.7,856,246.0,2974,279.5,2,1,0
server_087,2024-01-01 14:00:00,24,web,52.0,39.6,93.4,301,127.1,3215,232.2,1,1,0
server_372,2024-01-01 15:00:00,8,database,56.3,57.2,76.4,421,256.2,3379,221.6,1,2,0
server_099,2024-01-01 16:00:00,41,storage,62.0,22.1,48.0,656,459.0,3428,253.5,4,2,0
server_359,2024-01-01 17:00:00,48,compute,84.8,92.3,95.5,50,227.3,1961,278.0,23,14,1
server_151,2024-01-01 18:00:00,20,web,65.3,21.5,48.1,450,164.3,2377,267.0,1,2,0
server_130,2024-01-01 19:00:00,38,compute,61.7,44.1,46.3,693,247.2,2546,177.4,2,0,0
server_149,2024-01-01 20:00:00,46,web,87.9,96.1,95.1,430,322.0,2034,233.2,21,8,1
server_308,2024-01-01 21:00:00,48,database,51.5,14.6,55.0,646,225.4,2562,266.2,4,0,0
server_257,2024-01-01 22:00:00,56,web,51.9,37.3,43.3,100,307.2,2675,201.9,2,0,0
server_343,2024-01-01 23:00:00,50,compute,48.0,10.4,40.0,557,325.1,3270,270.4,1,1,0
server_491,2024-01-02 00:00:00,31,web,55.0,71.5,94.5,408,300.2,2801,228.0,1,1,0
server_413,2024-01-02 01:00:00,21,compute,60.6,33.8,71.1,455,291.1,2829,279.6,2,0,0
server_293,2024-01-02 02:00:00,41,compute,49.2,64.7,47.2,310,476.4,2881,238.9,0,0,0
server_385,2024-01-02 03:00:00,38,database,54.7,35.2,78.2,820,317.7,3364,252.4,1,2,0
server_191,2024-01-02 04:00:00,25,storage,49.6,21.1,42.7,514,220.9,3379,258.8,4,1,0
server_443,2024-01-02 05:00:00,18,storage,56.7,68.5,57.9,529,375.5,3701,276.4,2,2,0
server_276,2024-01-02 06:00:00,38,web,50.6,46.8,56.3,912,294.0,3257,292.7,4,0,0
server_160,2024-01-02 07:00:00,10,compute,49.1,82.7,62.7,315,307.1,3473,190.8,2,1,0
server_459,2024-01-02 08:00:00,42,database,49.6,35.7,45.9,528,401.3,2789,249.1,3,0,0
server_313,2024-01-02 09:00:00,19,storage,82.5,92.4,91.5,364,434.1,1961,257.0,24,10,1
server_021,2024-01-02 10:00:00,32,database,54.2,65.1,33.8,354,186.1,3182,406.0,2,2,0
server_252,2024-01-02 11:00:00,28,database,51.6,65.2,54.3,562,473.2,2942,295.1,4,0,0
server_235,2024-01-02 12:00:00,19,compute,57.1,48.1,80.0,444,293.5,3501,256.1,3,0,0
server_344,2024-01-02 13:00:00,45,web,51.7,100.0,75.4,896,294.2,2885,188.4,4,2,0
server_048,2024-01-02 14:00:00,9,compute,64.0,39.4,49.6,856,199.0,2816,240.9,3,2,0
server_474,2024-01-02 15:00:00,44,storage,47.2,19.6,37.1,468,374.7,2911,365.6,4,0,0
server_058,2024-01-02 16:00:00,57,storage,53.5,24.9,27.3,192,157.8,2987,175.2,2,1,0
server_169,2024-01-02 17:00:00,24,database,43.8,39.5,69.3,442,353.8,3010,239.6,3,2,0
server_475,2024-01-02 18:00:00,52,compute,52.2,75.4,64.2,710,465.1,3045,316.0,3,3,1
server_187,2024-01-02 19:00:00,59,compute,41.6,41.3,65.8,323,268.5,3404,361.0,1,2,0
